sentence,on,at,like,as,with,inside,of,among,in,by,from,during,about,near,out,round,until,along,for,against,across,to,off,upon,towards,under,around,behind,besides,within,beside,into,between,up,over,before,above,down,after,till,toward,without
Now， you don't eat these all [MASK] once,0.08554941417444348,0.05321410913607303,0.7963241264533812,0.0649123502361023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So you're happy [MASK] your work?,0.478706422145558,0.0,0.0,0.0,0.00048223113403863535,0.00048223113403863535,0.5203291155863647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max plugs himself [MASK] again,0.3308913251057684,0.0,0.0,0.13384137586283737,0.0,0.0,0.0,0.0011247520889830116,0.5341425469424111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She has a low opinion [MASK] herself,0.0,0.0,0.0,0.0,0.006983768570303471,0.006983768570303471,0.35677322177384163,0.0,0.0,0.6292592410855514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She also has the advantage [MASK] an outstanding recording,0.0,0.0,0.0,0.0,0.002057874860994809,0.0,0.9938263754170156,0.0,0.0,0.0,0.002057874860994809,0.002057874860994809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Is there anyone else we should know [MASK]?,0.7456730973523218,0.0,0.0,0.0,0.0061313677878447655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24206416707198872,0.0061313677878447655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Find [MASK] which insurance area you live in,0.0,0.0,0.0,0.0,0.00045378080919718,0.0,0.017647499838891828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0932639394433885,0.8886347799085225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrs.  Brooks was not usually curious [MASK] her guests,0.0,0.0,0.0,0.0,0.0,0.0,0.28170050063983776,0.0,0.0,0.26320649734293533,0.0,0.0,0.4546759877374338,0.0,0.0,0.0,0.0004170142797931014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I only moved [MASK] a couple of years ago,0.4754403959199179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11253599364236354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017910448760706066,0.4118445059501116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
You live [MASK] home with your parents?,0.0,0.987677677474781,0.0,0.0,0.0,0.0041074408417396905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041074408417396905,0.0041074408417396905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[MASK]short， it was Every Irish Town,0.016119672805631095,0.0,0.0,0.0014251719703822264,0.0,0.0,0.0152406954901616,0.0,0.967214459733825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Look [MASK] him!,0.0,0.1474331090329629,0.0,0.0,0.0,0.0,0.030001756093251543,0.0,0.6585001066208709,0.16406502825291466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I'm shocked [MASK] my husband's behavior,0.0,0.0,0.0,0.0,0.0,0.0,0.05630712619813577,0.0,0.1950221283551668,0.03353125959100507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7151394858556924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
She died [MASK]1890 aged sixty-six,0.6778235028663943,0.0,0.0,0.0,0.0,0.0,0.08528702275508485,0.0,0.20886827452682175,0.028021199851699152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One was dependent [MASK]the other,0.08223117919908965,0.0,0.0,0.0,0.0005045542316337767,0.0,0.12706600677494118,0.0,0.7901982597943354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
